timeslot,disk_space
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,407.72230706984004
34,407.72230706984004
35,407.72230706984004
36,407.72230706984004
37,1012.8953575380388
38,1012.8953575380388
39,1808.471536648658
40,898.3889651390814
41,1927.3801324659776
42,3101.011137833134
43,1701.154957531345
44,14.850651205740178
45,2064.3185912101503
46,-376.0789874661359
47,-376.0789874661359
48,2738.6906312019587
49,5940.058657443138
50,5940.058657443138
51,5940.058657443138
52,5940.058657443138
53,5940.058657443138
54,5940.058657443138
55,5940.058657443138
56,3512.819449640089
57,3512.819449640089
58,5728.13883794969
59,5728.13883794969
60,3660.393520724388
61,5657.2517803561295
62,3745.0348875968684
63,3745.0348875968684
64,3745.0348875968684
65,5447.71772707047
66,3797.457199293567
67,5371.1688824069115
68,3899.511601700322
69,2546.320969218593
70,1310.8951651296309
71,1310.8951651296309
72,219.39933639034166
73,1291.6346924812565
74,247.22343700778083
75,1212.400653469947
76,332.1455969041392
77,-469.2354620164441
78,-469.2354620164441
79,193.1469954952115
80,-431.6348946848225
81,-431.6348946848225
82,-1038.274774563697
83,-1038.274774563697
84,-1038.274774563697
85,-627.6623680853075
86,-274.1108413696291
87,-274.1108413696291
88,-605.5828772760208
89,-223.40464280651474
90,-223.40464280651474
91,-607.4212044500537
92,-607.4212044500537
93,-970.8918248822613
94,-970.8918248822613
95,-663.2251724735384
96,-399.3822098762759
97,-399.3822098762759
98,-133.528887570289
99,-133.528887570289
100,-133.528887570289
101,125.79027481079083
102,125.79027481079083
103,370.06120733445675
104,147.73125730945196
105,354.6600844352474
106,354.6600844352474
107,354.6600844352474
108,562.5997543827178
109,562.5997543827178
110,345.19757818406606
111,345.19757818406606
112,157.33232845183318
113,318.27053404777257
114,459.9549839511992
115,325.254685125043
116,195.2355745007912
117,195.2355745007912
118,304.1454235076901
119,388.05464612899254
120,441.032519992705
121,441.032519992705
122,441.032519992705
123,444.49848785919494
124,443.9670514035606
125,436.01313543040874
126,440.97793648108325
127,431.32920783623535
128,415.54654360259696
129,415.54654360259696
130,435.83149502431155
131,435.83149502431155
132,419.4113132542176
133,419.4113132542176
134,428.6036791924504
135,429.94519889287375
136,410.8112127178135
137,354.17184611260853
138,354.17184611260853
139,523.9934076183262
140,821.8700415639144
141,821.8700415639144
142,94.79511362477615
143,-691.9143592283614
144,-1419.8702064947738
145,-2043.2865315286385
146,-2564.6786382555
147,-2135.5313596359183
148,-2135.5313596359183
149,-1886.2070299151444
150,-1705.8650129690286
151,-1828.4382530522923
152,-1929.1170734100765
153,-2027.341994728869
154,-2136.84744990593
155,-2020.5357222221548
156,-2020.5357222221548
157,-2096.68763261024
158,-2157.6750035873342
159,-2095.6577969523205
160,-2095.6577969523205
161,-2064.3588365250057
162,-2044.2580784546753
163,-2028.8964965146397
164,-2039.879631059689
165,-2039.879631059689
166,-2052.9546998449873
167,-2042.4303711855605
168,-2035.6035297627411
169,-2035.6035297627411
170,-2035.6035297627411
171,-2020.7948239690836
172,-2020.7948239690836
173,-2011.317263681658
174,-1996.6664147530835
175,-1984.495543656811
176,-1984.495543656811
177,-1961.7225065877365
178,-1939.1017468114057
179,-1969.2685990364325
180,-1944.0659655709426
181,-1944.0659655709426
182,-1957.330043493356
183,-1957.330043493356
184,-1957.330043493356
185,-1932.3600635755934
186,-1932.3600635755934
187,-1966.127148662316
188,-2012.5474086240902
