timeslot,disk_space
0,0
1,0
2,0
3,0
4,0
5,0
6,21919.998331964016
7,43841.64288419485
8,65767.28743642569
9,87696.93198865652
10,109630.57654088736
11,87688.93198865652
12,65743.28743642569
13,87692.93198865652
14,65739.28743642569
15,43781.64288419485
16,65743.28743642569
17,87708.93198865652
18,109678.57654088736
19,109678.57654088736
20,131656.2210931182
21,109674.57654088736
22,131660.2210931182
23,153649.86564534903
24,175643.51019757986
25,153645.86564534903
26,175647.51019757986
27,153637.86564534903
28,131624.2210931182
29,109606.57654088736
30,87584.93198865652
31,87584.93198865652
32,65555.28743642569
33,43521.64288419485
34,43521.64288419485
35,21479.998331964016
36,-565.646220266819
37,-565.646220266819
